scenario,sample,run_id,runtime_command,classification,confidence,duration_seconds,exec_count,wrapper_count,transitive_exec_count,process_member_count,max_process_depth,exec_replacement_count,fork_only_process_count,file_effect_count,file_create_count,file_modify_count,file_rename_count,file_delete_count,network_effect_count,unique_destination_count,ancestry_complete,agent_capture,agent_interpretation,agent_lines_seen,agent_lines_persisted,process_capture,file_capture,network_capture,unique_exec_basenames,direct_match_executable,transitive_exec_basenames,workspace_file_effect_count,non_workspace_file_effect_count,localhost_network_count,non_local_network_count
bash_pipeline,1,20260823-021433-codex,/bin/bash -c 'printf x | tr x y >/dev/null',MATCHED,high,0.001362,2,0,1,3,1,0,1,3,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;tr,bash,tr,1,2,0,0
bash_pipeline,2,20260823-021442-codex,/bin/bash -c 'printf x | tr x y >/dev/null',MATCHED,high,0.001721,2,0,1,3,1,0,1,3,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;tr,bash,tr,1,2,0,0
bash_pipeline,3,20260823-021451-codex,/bin/bash -c 'printf x | tr x y >/dev/null',MATCHED,high,0.002046,2,0,1,3,1,0,1,3,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;tr,bash,tr,1,2,0,0
bash_pipeline,4,20260823-021500-codex,/bin/bash -c 'printf x | tr x y >/dev/null',MATCHED,high,0.013118,2,0,1,3,1,0,1,3,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;tr,bash,tr,1,2,0,0
bash_pipeline,5,20260823-021510-codex,/bin/bash -c 'printf x | tr x y >/dev/null',MATCHED,high,0.002188,2,0,1,3,1,0,1,3,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;tr,bash,tr,1,2,0,0
git_diff_stat,1,20260823-021107-codex,/bin/bash -c 'git diff --stat >/dev/null',MATCHED,high,0.001424,2,0,1,2,1,0,0,33,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,31,2,0,0
git_diff_stat,2,20260823-021121-codex,/bin/bash -c 'git diff --stat >/dev/null',MATCHED,high,0.000839,2,0,1,2,1,0,0,33,1,1,0,0,0,0,True,complete,complete,6,6,complete,complete,not_applicable,bash;git,bash,git,31,2,0,0
git_diff_stat,3,20260823-021132-codex,/bin/bash -c 'git diff --stat >/dev/null',MATCHED,high,0.001452,2,0,1,2,1,0,0,33,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,31,2,0,0
git_diff_stat,4,20260823-021142-codex,/bin/bash -c 'git diff --stat >/dev/null',MATCHED,high,0.001556,2,0,1,2,1,0,0,33,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,31,2,0,0
git_diff_stat,5,20260823-021150-codex,/bin/bash -c 'git diff --stat >/dev/null',MATCHED,high,0.001222,2,0,1,2,1,0,0,33,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,31,2,0,0
git_hook_control,1,20260823-030526-codex,"/bin/bash -c 'git -C .logira-research-fixture/git-control commit --allow-empty -m ""research sample""'",MATCHED,high,0.001066,3,0,2,2,1,1,0,54,8,6,1,4,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,54,0,0,0
git_hook_control,2,20260823-030537-codex,"/bin/bash -c 'git -C .logira-research-fixture/git-control commit --allow-empty -m ""research sample""'",MATCHED,high,0.002156,3,0,2,2,1,1,0,54,8,6,1,4,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,54,0,0,0
git_hook_control,3,20260823-030548-codex,"/bin/bash -c 'git -C .logira-research-fixture/git-control commit --allow-empty -m ""research sample""'",MATCHED,high,0.00209,3,0,2,2,1,1,0,54,8,6,1,4,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,54,0,0,0
git_hook_effect,1,20260823-030557-codex,"/bin/bash -c 'git -C .logira-research-fixture/git-hook commit --allow-empty -m ""research sample""'",MATCHED,high,0.001462,5,0,4,3,1,2,0,58,9,7,1,4,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git;pre-commit,bash,bash;git;pre-commit,58,0,0,0
git_hook_effect,2,20260823-030608-codex,"/bin/bash -c 'git -C .logira-research-fixture/git-hook commit --allow-empty -m ""research sample""'",MATCHED,high,0.001273,5,0,4,3,1,2,0,58,9,7,1,4,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git;pre-commit,bash,bash;git;pre-commit,58,0,0,0
git_hook_effect,3,20260823-030618-codex,"/bin/bash -c 'git -C .logira-research-fixture/git-hook commit --allow-empty -m ""research sample""'",MATCHED,high,0.00104,5,0,4,3,1,2,0,58,9,7,1,4,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git;pre-commit,bash,bash;git;pre-commit,58,0,0,0
git_status,1,20260823-021023-codex,/bin/bash -c 'git status --short >/dev/null',MATCHED,high,0.001321,2,0,1,2,1,0,0,73,2,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,71,2,0,0
git_status,2,20260823-021033-codex,/bin/bash -c 'git status --short >/dev/null',MATCHED,high,0.01639,2,0,1,2,1,0,0,73,2,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,71,2,0,0
git_status,3,20260823-021042-codex,/bin/bash -c 'git status --short >/dev/null',MATCHED,high,0.00158,2,0,1,2,1,0,0,73,2,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,71,2,0,0
git_status,4,20260823-021050-codex,/bin/bash -c 'git status --short >/dev/null',MATCHED,high,0.001612,2,0,1,2,1,0,0,73,2,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,71,2,0,0
git_status,5,20260823-021059-codex,/bin/bash -c 'git status --short >/dev/null',MATCHED,high,0.000857,2,0,1,2,1,0,0,73,2,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,git,71,2,0,0
go_test,1,20260823-021159-codex,/bin/bash -c 'go test ./...',MATCHED,high,2.437893,53,0,52,274,8,1,222,3251,187,1876,2,359,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;cli.test;compile;gcc;go;link;logirad.test;vet,bash,asm;cgo;cli.test;compile;gcc;go;link;logirad.test;vet,827,2424,0,0
go_test,2,20260823-021209-codex,/bin/bash -c 'go test ./...',MATCHED,high,0.605811,38,0,37,190,8,1,153,1177,97,108,0,260,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;vet,bash,asm;cgo;compile;gcc;go;link;vet,712,465,0,0
go_test,3,20260823-021218-codex,/bin/bash -c 'go test ./...',MATCHED,high,0.682757,39,0,38,189,7,1,151,1177,97,108,0,260,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;vet,bash,asm;cgo;compile;gcc;go;link;vet,712,465,0,0
go_test,4,20260823-021228-codex,/bin/bash -c 'go test ./...',MATCHED,high,0.670348,37,0,36,189,7,1,153,1177,97,108,0,260,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;vet,bash,asm;cgo;compile;gcc;go;link;vet,712,465,0,0
go_test,5,20260823-021238-codex,/bin/bash -c 'go test ./...',MATCHED,high,0.663902,37,0,36,186,7,1,150,1177,97,108,0,260,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;vet,bash,asm;cgo;compile;gcc;go;link;vet,712,465,0,0
make_control,1,20260823-030412-codex,/bin/bash -c 'make -C .logira-research-fixture/make-control test',MATCHED,high,1.248494,46,0,45,213,10,1,168,3888,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3487,401,0,0
make_control,2,20260823-030422-codex,/bin/bash -c 'make -C .logira-research-fixture/make-control test',MATCHED,high,1.215248,43,0,42,195,9,1,153,3890,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3489,401,0,0
make_control,3,20260823-030432-codex,/bin/bash -c 'make -C .logira-research-fixture/make-control test',MATCHED,high,1.078559,43,0,42,197,10,1,155,3890,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3489,401,0,0
